"Value Research Online"
"Date: 28-Jul-2015 14:48"
"Fund","Rating","1-Month Return","1-Month Rank","3-Month Return","3-Month Rank","1-Year Return","1-Year Rank","3-Year Return","3-Year Rank","5-Year Return","5-Year Rank","10-Year Return","10-Year Rank"
"Goldman Sachs PSU Bank BeES Fund","* * ","-1.91","29/29","-6.01","29/29","-8.86","22/23","5.51","12/13","-1.68","9/10","-","-"
"HDFC Capital Builder Fund","* * * ","1.01","70/135","3.9","99/135","19","75/125","25.35","25/66","13.81","18/61","17.03","14/28"
"HDFC Core & Satellite Fund","* ","3.79","8/61","7.34","26/61","11.56","54/56","21.46","23/28","9.06","25/26","15.05","11/15"
"HDFC Equity Fund","* * ","0.39","99/135","2.97","116/135","11.51","105/125","23.56","38/66","12.29","38/61","19.21","3/28"
"HDFC Growth Fund","* * ","0.77","84/135","3.9","98/135","10.41","112/125","18.13","58/66","10.13","44/61","17.14","12/28"
"HDFC Index Fund - Nifty Plan","* * * ","-0.06","103/148","2.45","89/145","8.3","94/143","18.69","46/75","9.27","40/64","12.41","28/35"
"HDFC Index Fund - Sensex Plan","* * * ","-0.63","133/148","2.25","110/145","6.62","129/143","18.73","44/75","9.37","37/64","12.63","27/35"
"HDFC Index Fund - Sensex Plus Plan","* * * ","-0.2","112/148","2.62","74/145","8.42","89/143","18.89","41/75","10.84","22/64","15.87","11/35"
"HDFC Infrastructure Fund","* * * ","1.56","30/43","1.04","42/43","11.4","34/43","20.03","9/22","5.99","9/20","-","-"
"HDFC Large Cap Fund - Regular Plan","Unrated","-0.26","114/148","4.1","58/145","9.21","81/143","18.06","54/75","7.97","61/64","12.11","29/35"
"HDFC Long Term Advantage Fund","* * * ","-0.66","75/75","2.49","69/75","8.97","71/73","22.61","31/37","12.64","19/36","14.99","10/19"
"HDFC Mid-Cap Opportunities Fund","* * * * ","1.15","104/114","6.76","75/114","31.06","71/112","33.29","29/52","20.68","10/48","-","-"
"HDFC Premier Multi-Cap Fund","* ","1.85","28/61","5.04","45/61","12.45","51/56","20.29","24/28","9.08","24/26","14.17","13/15"
"HDFC Small and Mid Cap Fund - Regular Plan","Unrated","2.43","77/114","5.58","94/114","23.7","90/112","25.71","46/52","12.36","42/48","-","-"
"HDFC Taxsaver Fund","* * ","0.08","65/75","2.05","71/75","11.03","69/73","23.3","25/37","11.78","23/36","16.01","8/19"
"HDFC Top 200 Fund","* * * ","0.41","64/148","2.22","115/145","9.62","79/143","21.06","19/75","11.25","18/64","18.8","1/35"
"HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Regular Plan","Unrated","-5.81","-","-11.32","-","-6.08","-","-","-","-","-","-","-"
"HSBC Brazil Fund","Unrated","-13.58","-","-22.18","-","-42.64","-","-15.35","-","-","-","-","-"
